"Time (EpSec)","x (km)","y (km)","z (km)"
0,7321.725552949,41523.569016669,0.000000000
1,7321.725552949,41523.569016669,0.000000000
2,7321.725552949,41523.569016669,0.000000000
3,7321.725552949,41523.569016669,0.000000000
4,7321.725552949,41523.569016669,0.000000000
5,7321.725552949,41523.569016669,0.000000000
6,7321.725552949,41523.569016669,0.000000000
7,7321.725552949,41523.569016669,0.000000000
8,7321.725552949,41523.569016669,0.000000000
9,7321.725552949,41523.569016669,0.000000000
10,7321.725552949,41523.569016669,0.000000000
11,7321.725552949,41523.569016669,0.000000000
12,7321.725552949,41523.569016669,0.000000000
13,7321.725552949,41523.569016669,0.000000000
14,7321.725552949,41523.569016669,0.000000000
15,7321.725552949,41523.569016669,0.000000000
16,7321.725552949,41523.569016669,0.000000000
17,7321.725552949,41523.569016669,0.000000000
18,7321.725552949,41523.569016669,0.000000000
19,7321.725552949,41523.569016669,0.000000000
20,7321.725552949,41523.569016669,0.000000000
21,7321.725552949,41523.569016669,0.000000000
22,7321.725552949,41523.569016669,0.000000000
23,7321.725552949,41523.569016669,0.000000000
24,7321.725552949,41523.569016669,0.000000000
25,7321.725552949,41523.569016669,0.000000000
26,7321.725552949,41523.569016669,0.000000000
27,7321.725552949,41523.569016669,0.000000000
28,7321.725552949,41523.569016669,0.000000000
29,7321.725552949,41523.569016669,0.000000000
30,7321.725552949,41523.569016669,0.000000000
31,7321.725552949,41523.569016669,0.000000000
32,7321.725552949,41523.569016669,0.000000000
33,7321.725552949,41523.569016669,0.000000000
34,7321.725552949,41523.569016669,0.000000000
35,7321.725552949,41523.569016669,0.000000000
36,7321.725552949,41523.569016669,0.000000000
37,7321.725552949,41523.569016669,0.000000000
38,7321.725552949,41523.569016669,0.000000000
39,7321.725552949,41523.569016669,0.000000000
40,7321.725552949,41523.569016669,0.000000000
41,7321.725552949,41523.569016669,0.000000000
42,7321.725552949,41523.569016669,0.000000000
43,7321.725552949,41523.569016669,0.000000000
44,7321.725552949,41523.569016669,0.000000000
45,7321.725552949,41523.569016669,0.000000000
46,7321.725552949,41523.569016669,0.000000000
47,7321.725552949,41523.569016669,0.000000000
48,7321.725552949,41523.569016669,0.000000000
49,7321.725552949,41523.569016669,0.000000000
50,7321.725552949,41523.569016669,0.000000000
51,7321.725552949,41523.569016669,0.000000000
52,7321.725552949,41523.569016669,0.000000000
53,7321.725552949,41523.569016669,0.000000000
54,7321.725552949,41523.569016669,0.000000000
55,7321.725552949,41523.569016669,0.000000000
56,7321.725552949,41523.569016669,0.000000000
57,7321.725552949,41523.569016669,0.000000000
58,7321.725552949,41523.569016669,0.000000000
59,7321.725552949,41523.569016669,0.000000000
60,7321.725552949,41523.569016669,0.000000000
61,7321.725552949,41523.569016669,0.000000000
62,7321.725552949,41523.569016669,0.000000000
63,7321.725552949,41523.569016669,0.000000000
64,7321.725552949,41523.569016669,0.000000000
65,7321.725552949,41523.569016669,0.000000000
66,7321.725552949,41523.569016669,0.000000000
67,7321.725552949,41523.569016669,0.000000000
68,7321.725552949,41523.569016669,0.000000000
69,7321.725552949,41523.569016669,0.000000000
70,7321.725552949,41523.569016669,0.000000000
71,7321.725552949,41523.569016669,0.000000000
72,7321.725552949,41523.569016669,0.000000000
73,7321.725552949,41523.569016669,0.000000000
74,7321.725552949,41523.569016669,0.000000000
75,7321.725552949,41523.569016669,0.000000000
76,7321.725552949,41523.569016669,0.000000000
77,7321.725552949,41523.569016669,0.000000000
78,7321.725552949,41523.569016669,0.000000000
79,7321.725552949,41523.569016669,0.000000000
80,7321.725552949,41523.569016669,0.000000000
81,7321.725552949,41523.569016669,0.000000000
82,7321.725552949,41523.569016669,0.000000000
83,7321.725552949,41523.569016669,0.000000000
84,7321.725552949,41523.569016669,0.000000000
85,7321.725552949,41523.569016669,0.000000000
86,7321.725552949,41523.569016669,0.000000000
87,7321.725552949,41523.569016669,0.000000000
88,7321.725552949,41523.569016669,0.000000000
89,7321.725552949,41523.569016669,0.000000000
90,7321.725552949,41523.569016669,0.000000000
91,7321.725552949,41523.569016669,0.000000000
92,7321.725552949,41523.569016669,0.000000000
93,7321.725552949,41523.569016669,0.000000000
94,7321.725552949,41523.569016669,0.000000000
95,7321.725552949,41523.569016669,0.000000000
96,7321.725552949,41523.569016669,0.000000000
97,7321.725552949,41523.569016669,0.000000000
98,7321.725552949,41523.569016669,0.000000000
99,7321.725552949,41523.569016669,0.000000000
100,7321.725552949,41523.569016669,0.000000000
101,7321.725552949,41523.569016669,0.000000000
102,7321.725552949,41523.569016669,0.000000000
103,7321.725552949,41523.569016669,0.000000000
104,7321.725552949,41523.569016669,0.000000000
105,7321.725552949,41523.569016669,0.000000000
106,7321.725552949,41523.569016669,0.000000000
107,7321.725552949,41523.569016669,0.000000000
108,7321.725552949,41523.569016669,0.000000000
109,7321.725552949,41523.569016669,0.000000000
110,7321.725552949,41523.569016669,0.000000000
111,7321.725552949,41523.569016669,0.000000000
112,7321.725552949,41523.569016669,0.000000000
113,7321.725552949,41523.569016669,0.000000000
114,7321.725552949,41523.569016669,0.000000000
115,7321.725552949,41523.569016669,0.000000000
116,7321.725552949,41523.569016669,0.000000000
117,7321.725552949,41523.569016669,0.000000000
118,7321.725552949,41523.569016669,0.000000000
119,7321.725552949,41523.569016669,0.000000000
120,7321.725552949,41523.569016669,0.000000000
121,7321.725552949,41523.569016669,0.000000000
122,7321.725552949,41523.569016669,0.000000000
123,7321.725552949,41523.569016669,0.000000000
124,7321.725552949,41523.569016669,0.000000000
125,7321.725552949,41523.569016669,0.000000000
126,7321.725552949,41523.569016669,0.000000000
127,7321.725552949,41523.569016669,0.000000000
128,7321.725552949,41523.569016669,0.000000000
129,7321.725552949,41523.569016669,0.000000000
130,7321.725552949,41523.569016669,0.000000000
131,7321.725552949,41523.569016669,0.000000000
132,7321.725552949,41523.569016669,0.000000000
133,7321.725552949,41523.569016669,0.000000000
134,7321.725552949,41523.569016669,0.000000000
135,7321.725552949,41523.569016669,0.000000000
136,7321.725552949,41523.569016669,0.000000000
137,7321.725552949,41523.569016669,0.000000000
138,7321.725552949,41523.569016669,0.000000000
139,7321.725552949,41523.569016669,0.000000000
140,7321.725552949,41523.569016669,0.000000000
141,7321.725552949,41523.569016669,0.000000000
142,7321.725552949,41523.569016669,0.000000000
143,7321.725552949,41523.569016669,0.000000000
144,7321.725552949,41523.569016669,0.000000000
145,7321.725552949,41523.569016669,0.000000000
146,7321.725552949,41523.569016669,0.000000000
147,7321.725552949,41523.569016669,0.000000000
148,7321.725552949,41523.569016669,0.000000000
149,7321.725552949,41523.569016669,0.000000000
150,7321.725552949,41523.569016669,0.000000000
151,7321.725552949,41523.569016669,0.000000000
152,7321.725552949,41523.569016669,0.000000000
153,7321.725552949,41523.569016669,0.000000000
154,7321.725552949,41523.569016669,0.000000000
155,7321.725552949,41523.569016669,0.000000000
156,7321.725552949,41523.569016669,0.000000000
157,7321.725552949,41523.569016669,0.000000000
158,7321.725552949,41523.569016669,0.000000000
159,7321.725552949,41523.569016669,0.000000000
